address,price,property_type,zipcode,beds,baths,sqft,garage,description
"2709 - 111 S Ashley Dr, Tampa, FL","$2,270,000",condo,33601,2,3,2259,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass. Residence D features 2 bedrooms, 2.5 baths, and 2, 259 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
"3104 - 111 S Ashley Dr, Tampa, FL","$3,295,000",condo,33601,2,3,2218,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass. Residence C-1 features 2 bedrooms, 3 baths, and a den in 2, 218 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
"3307 - 111 S Ashley Dr, Tampa, FL","$1,850,000",condo,33601,2,3,1697,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass. Residence E features 2 bedrooms, 2.5 baths, and 1, 697 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
"3308 - 111 S Ashley Dr, Tampa, FL","$3,650,000",condo,33601,3,4,2953,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass. Residence B features 3 bedrooms, 3.5 baths, and a den in 2, 953 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
"3606 - 111 S Ashley Dr, Tampa, FL","$2,945,000",condo,33601,2,3,2222,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass. Residence C features 2 bedrooms, 3 baths, and a den in 2, 222 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
"24 - 4202 Harbor House Dr, Tampa, FL","$275,000",condo,33601,2,2,1139,0,"Sought after, Safe, and Serene! This waterfront condo in a private boating community lives like a Townhome and offers direct access to Tampa Bay. The first floor offers a crisp white kitchen with granite countertops, stainless steel appliances, a laundry room with convenient shelving, a powder room stylishly outfitted with shiplap and beadboard walls and fashionable cabinetry, plus an open concept living/dining area. The dining area provides convenience, while the living area boasts a working fireplace and a vaulted, shiplap ceiling with charming, exposed beams. From there, sliding doors lead to the large covered and screened lanai with plenty of room for quiet moments or family-filled events. A second set of sliders leads to a bricked area to enjoy stunning sunset views over the docks and bay. Upstairs, you will find neutral carpeting throughout, except for the tiled full bath remodeled in 2018. The primary bedroom has a spacious walk-in closet, and the loft area provides space for a second bedroom or office retreat. Boat slips are currently available for $100 per month and include electricity and water. You will enjoy the amenities, which include a resort-style community pool, an outdoor grill, a covered deck with water views, a clubhouse with a kitchen area, ping-pong, a pool table, and gym equipment, and get your rackets ready to play some pickleball or tennis on the recently updated courts. HOA fees cover flood insurance, cable, internet, exterior upkeep, pest control, and roof maintenance, with additional marina or boat storage available. 4202 Harbor House Drive offers convenient access to the Veterans Expressway, I-275, Tampa International Airport, Downtown Tampa, a variety of shopping, dining, entertainment, and award-winning beaches. Call to schedule your showing today, this waterfront home won’t last long."
"Apt-202 - 13285 Arbor Pointe Cir, Tampa, FL","$175,000",condo,33601,1,1,802,0,"Built in 2023 and just minutes from USF, this cash-only, sensationally upgraded 1 bedroom, 1 bath condo is one of the few units in Stone Creek Pointe that was built in 2023, offering the perks of newer construction with stylish, high-quality finishes throughout. Positioned on the second floor and directly across from the community amenities, you'll enjoy quick access to the clubhouse, fitness center, pool, and grilling area just steps from your door. Inside, the home features ceramic tile flooring, crown molding, and fresh paint throughout its flowing, open- concept floor plan, creating a bright and inviting feel. Hurricane-rated windows and sliding doors, also added in 2023, will provide extra peace of mind to the new owner. The kitchen showcases soft-close cabinetry with crown trim, granite countertops, a breakfast bar passthrough to the living room, and a 2024 stainless steel appliance package, including an oven with an air fry feature! A spacious laundry room sits just beyond the kitchen, with a 2024 washer and dryer, extra storage space, and added functionality for daily living. The combined living and dining area opens effortlessly to the tiled, screened balcony, perfect for quiet mornings or laid-back evenings outdoors. The generously sized bedroom features a large walk-in closet with custom shelving, while the beautifully updated bathroom has dual granite sinks with soft-close cabinetry and elegant, floor-to-ceiling porcelain tile in the tub/shower combo. Everything was new in 2023, including major mechanical components! Stone Creek Pointe offers a low-maintenance lifestyle in a well-kept community with lush landscaping and covered entryways. With association- approved leases of 30 days or more, this is an ideal opportunity for both owners and investors. Located close to Busch Gardens, the Yuengling Center, major shopping, dining, and commuter routes, this move-in-ready condo places you in the heart of it all. Don't miss your chance to own this like-new gem; schedule your showing today!"
"Unit-926 - 410 S Armenia Ave, Tampa, FL","$435,000",condo,33601,2,2,1206,0,"Live in the Heart of South Tampa – or Invest in It! Discover a rare opportunity to own a beautifully updated second-floor balcony unit in the sought-after Madison at SOHO condominiums! Whether you're an investor seeking a turnkey property with reliable long-term tenants already in place through November 2025, or a future homeowner dreaming of vibrant city living, this condo offers unmatched potential. Fully remodeled in 2022, this spacious 2-bedroom, 2-bathroom unit features high-end upgrades including hurricane impact windows and sliding doors, stylish tile flooring throughout, fresh paint, modern granite countertops, recessed lighting, and an open-concept layout with a removed column to enhance flow and functionality. The Madison at SOHO boasts premium amenities such as a resort-style pool, fitness center, and secure parking — all in a highly walkable neighborhood steps from Publix, local boutiques, and some of Tampa’s best bars and award-winning restaurants in SOHO and nearby Hyde Park. Enjoy being just minutes from Downtown Tampa, the Tampa Riverwalk, Tampa International Airport, and the area's stunning Gulf Coast beaches. Whether you're looking to generate steady rental income or immerse yourself in the best of South Tampa living, this property checks every box. Don’t miss your chance to own a prime piece of Tampa real estate in one of the city’s most desirable, walkable locations!"
"Unit-1004 - 449 S 12 Th St, Tampa, FL","$1,195,000",condo,33601,3,3,1733,0,"Live at one of the most prestigious addresses in all of Tampa Bay – The Towers of Channelside. Located in the heart of the vibrant Channelside and Downtown Tampa area, this is urban living at its finest. Enjoy an ultra-walkable lifestyle in a newly developed neighborhood surrounded by endless amenities. Just steps from the Water Street District, Sparkman Wharf, Tampa Riverwalk, and Amalie Arena, you’ll have premier dining, shopping, and entertainment right outside your door. You will love Residence 1004, a beautifully upgraded home featuring a chef’s kitchen, elegant tile flooring throughout, and custom built-in closets. The luxurious primary suite boasts a spa-inspired bath with a built-in vanity, two bedrooms include en suite baths for ultimate privacy and comfort. Step out onto expansive 648-square-foot wraparound balcony offering spectacular southwest water and city views from every room in the residence. This unit also comes with the convenience of a dedicated storage locker and two gated, reserved (side-by-side) parking spaces. With the recent installation of four PGT 7700 Winguard impact-rated sliding doors ($56K), this is a well-protected residence. Residents of The Towers of Channelside enjoy resort-style amenities including 24/7 security, a sprawling 5th-floor saltwater pool with heated spa and stunning rock waterfall, outdoor grill stations, two designated dog walk areas, and access to a spacious clubhouse—ideal for relaxing or entertaining."
"7192 E Bank Dr, Tampa, FL","$129,000",condo,33617,2,2,864,0,"Very charming Waterside 2 beds/1.5 baths condo with new Vinyl flooring, freshly painted. Steps to a Community Pool, playground, Clubhouse, and amenities. Easy access to all the major shopping centers, dining & entertainment. Condo is in a gated community near Busch Garden. Hurry won't last long. Call for appointment."
"Unit-101 - 13684 Orange Sunset Dr, Tampa, FL","$145,000",condo,33601,1,1,795,0,"Take a look at this thoughtfully updated one-bedroom, one-bath condo located in the gated Whispering Oaks community in Tampa. Positioned on the first floor, the unit features an open living area with sliders leading to the back and a convenient in-unit washer and dryer. The spacious back patio overlooks a serene inlet of Lake Magdalene, perfect for morning coffee or evening relaxation. The kitchen includes a refrigerator, range, and ample cabinet space, while the bedroom offers comfortable living with easy access to the full bath. Whispering Oaks provides boat ramp access, community pool, fitness center, and well-maintained grounds. This rental includes all utilities except electricity. No pets are permitted. Enjoy peaceful, low-maintenance living with easy access to Fletcher Avenue, SR-580, and nearby shopping, dining, and recreation."
"1031 Andrew Aviles Cir, Tampa, FL","$315,000",townhouse,33601,3,3,1832,0,"End-Unit Townhome in Prime Location – Move-In Ready! Welcome to this beautifully updated 3-bedroom, 2.5-bathroom end-unit townhome, perfectly situated near Brandon Mall, Top Golf, and many other popular shopping and entertainment destinations. Tucked away in a gated community with no rear neighbors, this home offers the perfect blend of privacy, comfort, and convenience—including easy access to major highways, making your commute or weekend outings a breeze. As soon as you walk in, you’ll notice the luxury epoxy-coated floors that give the entire downstairs a sleek, modern look and create a bright, open feel. The main level features a spacious and functional layout that seamlessly connects the kitchen and dining areas. The kitchen boasts stainless steel appliances, expansive counter space, and a convenient breakfast bar that overlooks the living room. Large sliding glass doors flood the space with natural light and lead to a private back patio and peaceful green space—perfect for relaxing or entertaining. Crown molding adds an extra touch of elegance throughout the first floor. Upstairs, the updated staircase railing and flooring create a clean, modern aesthetic. The layout includes two generously sized bedrooms at the front of the home, a full guest bathroom, and a conveniently located upstairs laundry room. The primary suite is privately situated at the rear of the home and features a walk-in closet, soaking tub, and separate stand-up shower—creating a peaceful retreat. This home also includes several valuable upgrades such as a new roof (2024) , new A/C unit (2023), new refrigerator, under-sink water filtration system, new garbage disposal, garage door opener, and pre-wiring for a surround sound system. The low HOA fee of $350/month includes water, cable, internet, trash service, and access to the community pool, providing excellent value and a low-maintenance lifestyle. With its prime location, thoughtful upgrades, and fantastic community amenities, this townhome truly checks all the boxes. Schedule your private tour today—you don’t want to miss it!"
"Unit-3 - 532 W Plaza Pl, Tampa, FL","$799,900",townhouse,33601,3,4,2202,0,"$10, 000.00 towards buyer closing costs until 06/30/2025. Crafted for those who crave location, style, and space. Residents will enjoy local eateries, breweries, entertainment, and much more with close proximity to Armature Works. A limited collection of modern townhomes in the heart of Tampa Heights, just minutes from Armature Works, the Riverwalk, and some of the city’s most iconic food, breweries. This lifestyle statement equipped for luxurious entertainment with a 13ft kitchen island perfect for dinner parties or Sunday brunch and caters to convenience with a private dumbwaiter system from your 24-ft deep garage going up to the kitchen. Luxury meets function with multiple outdoor spaces for sunset cocktails, morning coffee, and fresh air. Wide-plank engineered hardwood wood floors throughout, soaking in natural light, a sizable pantry and more. The primary suite is a true retreat, featuring multiple walk-in closets, a spa-inspired bathroom, and 8-ft door frames and solid wood doors with smooth level 4 drywall and insulated walls providing an unseen level of craftsmanship rarely found in the neighborhood for the price. With all bedrooms having their own en-suite bathroom and walk in closets the exception of luxury is met. Whether you’re upsizing your lifestyle or making Tampa Heights your new home base, this is a home designed to impress!"
"Unit-3 - 403 S Fremont Ave, Tampa, FL","$675,000",townhouse,33601,3,3,1748,0,"Welcome to this beautifully updated 3-bedroom, 2.5-bathroom townhome, ideally located in one of South Tampa’s most walkable neighborhoods—just a quick stroll to the Hyde Park Village for coffee, dining, shopping, and fun. Thoughtfully renovated with both comfort and lifestyle in mind, this home checks every box. Step inside to a bright, open floor plan and a stunning new kitchen featuring quartz waterfall counters, custom cabinetry, an expanded pantry, and stylish tile accents. Wood flooring flows throughout the main level, anchored by a cozy living room with a custom mantle. Upstairs, you’ll find all three bedrooms, including a spacious primary suite with room for a home office—or your Peloton. The luxe primary bath boasts sleek counters, a soaking tub, contemporary tilework, and a glass-enclosed shower. And then there’s the yard! The professionally turfed backyard with retractable lighted awnings offers a rare private green space—perfect for pets, kids, or weekend hangouts. With a new metal roof, low HOA fees, and an unbeatable location, this townhome delivers on style, convenience, and peace of mind. Live steps from everything you love in South Tampa and in a NON-required flood zone! This home sat high and dry during the storms last year."
"4213 Arborwood Ln, Tampa, FL","$480,000",townhouse,33601,4,3,2275,0,"Stunning Pond & Golf Course Views from this AMAZING Townhouse/Condo located in the Heart of Carrollwood! This Immaculate 2 story Townhouse Style Condo offers 4 spacious bedrooms, 2.5 baths, a 2 Car Garage & 2275 sq ft of living space. You will appreciate the open floor plan, large great room with cozy fireplace with wood mantel, Luxury Vinyl Plank Flooring as well as the many updates & upgrades in this special home~ The Kitchen & Baths have been fully updated very nicely! The open Kitchen features updated quality cabinetry with soft close doors & drawers, Pantry, Lazy Susan Cabinet, newer Stainless Appliances, Granite Countertops, Single Basin Sink, upgraded faucet, Plank Tile & Recessed Lighting. There is 1 Bedroom plus 1/2 Bath on the first floor & 3 Bedrooms + 2 Baths on the 2nd level. The Primary Bedroom features a double entry door. The Ensuite Bath & the Walk-in Closet are both massive in size! (Bedroom 20X14 & Closet 5X13) The ensuite Primary Bath is gorgeous with Updated Tiled Shower with frameless glass door, large dual sink vanity with granite countertops, 2 designer mirrors & Plank Tile. Enjoy the amazing views from your private balcony just off your Primary Bedroom! Interior spacious Laundry Room with Full Size Washer/Dryer Hookup, Shelving & Folding Table too~ You will enjoy relaxing on the oversized screened lanai with pavers overlooking the scenic views of the serene pond & the Meadow Fairway 1 location on the Carrollwood Country Club Golf Course! Upgrades & Updates Galore! Newer Impact Windows & Triple Slider Doors, LVP Flooring, Newer Appliances, Newer Carpet, Window Blinds/Shades/Curtains, Recessed Lighting, Water Softener, Attic Ladder Access, Ceiling Fans, Automatic Garage Door Opener, Arlo 3 Camera System, Mirrored Closet Doors in 3 bedrooms, HVAC has a UV Light, Front Entry Door with glass insert & side light, Brick Pavers at entrance, Pavers at large screened lanai, keyless entry for garage & Exterior Gutters. Condo Fees include: Cable, Internet, Water, Sewer, Trash, Roof, Exterior Paint, Exterior Insurance, Pool Maintenance & Lawn/Grounds Maintenance. Community features a Community Pool & Guest Parking. 1 Mile away is the fabulous ""Carrollwood Village Park""! Includes: Picnic Shelters, Large & Small Dog Parks, Outdoor Chess Boards, Outdoor Ping Pong Tables, Walking Trails, Outdoor Fitness Equipment, Bike Repair Station, Skate Park, Splash Pad, Playground, Paved Trails, Corn Hole & Fishing too! Very convenient location near many Restaurants, Shopping & Carrollwood Country Club for Golfing~"
"20074 Heritage Point Dr, Tampa, FL","$424,900",townhouse,33559,4,2,2349,0,"Spacious 4-bed, 2-bath home in fair condition with 10-year-old AC. Great opportunity for investment or personal customization. This home offers maintenance-free living and the benefits of a new home without the price. Become part of the exclusive Grand Hampton community that offers resort-style amenities & 24-hour guard-gated security. Our kitchen has a TON of countertop space, cabinets, and a kitchen island- plus a breakfast nook and window seat. Daily life is convenient, with all of the main rooms just a step away from each other. The split floor plan is ideal. This is your opportunity to become part of it."
"4003 Oak Limb Ct, Tampa, FL","$217,900",townhouse,33601,2,3,1037,0,"Don't miss this beautifully updated 2-bedroom, 2.5-bath townhome in Tampa! Located in the desirable Kirby Creek Townhomes community near Carrollwood, this spacious two-story unit offers comfort and convenience. The main floor features an open-concept living, dining, and kitchen area with stylish tile flooring throughout. The kitchen boasts brand-new appliances, making meal prep a breeze, and there's a convenient half bath for guests. Upstairs, you'll find two generously sized bedrooms with plush carpeting and ample closet space. A full bathroom with a shower/tub combo serves both bedrooms. Step outside to enjoy the screened-in porch and private fenced backyard—perfect for relaxing or entertaining. A brand-new washer and dryer are included in the outdoor storage shed just off the porch. This move-in ready home combines modern updates with a great location—schedule your tour today!"
"3503 W Palmira Ave, Tampa, FL","$650,000",townhouse,33629,2,1,1184,0,"Welcome to 3503 W Palmira Ave, a rare opportunity in one of South Tampa’s most desirable neighborhoods. Nestled on a beautiful lot within walking distance to the highly sought-after Plant High School, this property offers the perfect blend of location and potential. Whether you're looking to renovate and update the existing home to suit your style or start fresh and build the custom home of your dreams, the choice is yours. Surrounded by well-maintained homes and new construction, the possibilities are truly endless. Don't miss your chance to invest in a premium location with top-rated schools, charming tree-lined streets, and easy access to everything South Tampa has to offer — shopping, dining, Bayshore Boulevard, and more. Schedule your showing today and explore the potential of this exceptional property!"
"3308 W Wyoming Cir, Tampa, FL","$250,000",townhouse,33611,2,3,1110,0,"Charming 2-Bedroom Townhome in Gated South Tampa Community .Welcome to 3308 W Wyoming Circle — a beautifully maintained 2-bedroom, 2.5-bath townhome nestled in a desirable gated community in South Tampa, just minutes from MacDill Air Force Base, top-rated restaurants, shopping, and local parks. This two-story home offers a spacious living and dining combination, perfect for everyday living and entertaining. The enclosed patio provides a cozy outdoor retreat with a large storage closet for added convenience. Upstairs, you’ll find two generously sized bedrooms, each with ceiling fans, blinds, and fresh updates, including new flooring in the bathrooms and fresh interior paint throughout. The layout offers privacy and functionality, ideal for homeowners or investors. Additional features: This property is not located in a flood zone, is an excellent rental income potential and has a community security gate for peace of mind. Whether you’re looking for a personal residence or a smart investment, this property offers a rare blend of location, comfort, and value."
"7192 E Bank Dr, Tampa, FL","$129,000",townhouse,33617,2,2,864,0,"Very charming Waterside 2 beds/1.5 baths condo with new Vinyl flooring, freshly painted. Steps to a Community Pool, playground, Clubhouse, and amenities. Easy access to all the major shopping centers, dining & entertainment. Condo is in a gated community near Busch Garden. Hurry won't last long. Call for appointment."
"Unit-43 - 2511 N Grady Ave, Tampa, FL","$699,900",townhouse,33601,3,4,1941,0,"Luxury, location, and low maintenance living! This stunning 3-bedroom, 3.5-bath townhome in Westshore Village offers three levels of stylish living just steps from Raymond James Stadium and Steinbrenner Field - where the Rays are playing this season. Enjoy the convenience of being just 5 minutes from Tampa International Airport, with shopping, dining, and entertainment at International Plaza right around the corner. Inside, you’ll find NO carpet - all floors have been updated with luxury vinyl plank, and the entire interior has been freshly painted. The first-floor bedroom includes a private en-suite, perfect for guests or a home office. The second floor boasts a modern open layout, featuring a chef’s kitchen with quartz countertops, stainless steel appliances, a gas range, oversized island, and balcony access from the living area. Upstairs, both bedrooms have private en-suites and walk-in closets. The laundry is conveniently located on the top floor. Enjoy added perks like a Tesla charger in the attached 2-car garage, hurricane-rated impact windows, and rentability - making this a solid investment or turnkey primary residence. The gated community features a resort-style pool with cabanas, outdoor kitchen, fire pit, dog parks, and bocce court. Schedule your private showing today!"
"1 Isola Way, San Francisco, CA","$1,995,000",house,94131,4,3,2600,2,"This striking, fully detached Art Deco home on a coveted corner lot in Miraloma Park makes an unforgettable first impression with manicured gardens, bold curb appeal, and a design-forward renovation that brings timeless architecture into the now. Inside, enjoy smart home features, generous light-filled living spaces, and effortless indoor-outdoor flow. The main level features 3 bedrooms plus an ideal home office, 2 remodeled bathrooms, and a luxe primary suite with a walk-in closet, and a spa-like bathroom with rain shower, radiant heat, and your very own dry sauna. A formal dining room with a Parisian balcony, expansive living room with sleek gas fireplace, and chef's dream kitchen with custom cabinetry, Sub-Zero fridge, Wolf range, and marble backsplash complete the main floor. The lower level offers a spacious guest suite, versatile media room, and laundry. Additional highlights include Lutron blinds, immersive Sonos audio, CAT-5 wiring, recessed LED lighting, custom closets, and a 2 car side-by-side garage. Enjoy easy access to Miraloma Playground & Elementary, Forest Hill MUNI, West Portal Village, shopping and dining on Portola Drive, and stunning trails at Mt. Davidson, Glen Canyon, and Twin Peaks. This is a statement home for a life well-lived."
"1256 Bush St, San Francisco, CA","$1,295,000",house,94109,3,4,4673,0,"San Francisco discovers timeless charm at 1256 Bush Street, a classic six-unit Edwardian building nestled in the highly desirable Lower Nob Hill neighborhood. Spanning approximately 4, 673 sq ft, the three-story structure sits on a 0.072-acre (3, 149 sq ft) lot. Built in 1910, this well-preserved property blends early 20th-century architectural character with modern potential. Each unit boasts a unique layout. Unit #1, ground floor studio with its own entrance. Unit #2, one bedroom Garden unit. Unit #3, large studio with a fireplace on 2nd floor. Unit #4, one bedroom with deck and garden access on 2nd floor with fireplaces in the bedroom and living room. Unit #5, top floor junior one bedroom. Unit #6 top floor one bedroom with 220 sq ft private deck. Located just steps from the vibrant Polk Street, Union Square, and San Francisco's renowned cultural and dining scenes, with Walk Score and Transit Score of 100 perfect for city dwellers who value convenience and connectivity. The neighborhood is part of the Lower Nob Hill Apartment Hotel District, known for its rich collection of early 20th-century architecture. Whether you're looking to generate strong rental income, occupy a unit while leasing out others, this multi-unit property delivers versatility, location, and historic value"
"1279 41 St Ave, San Francisco, CA","$1,995,000",house,94101,6,0,3820,2,"1279-1281 41st Avenue is a well-maintained duplex in San Francisco's Outer Sunset neighborhood, offering an excellent opportunity for owner-users or investors. The property features two spacious, two-level units, each with 3 bedrooms and 2.5 bathrooms, plus an unwarranted 1-bedroom, 1-bathroom unit on the ground floor. Built in 1981, the building is not subject to San Francisco rent control. The owner's unit is currently vacant, making it ideal for immediate occupancy or rental. Both main units have a smart, functional layout with generous natural light, partial views, and in-unit laundry hookups. This property is ideal for TIC or condo conversion. Located just blocks from Ocean Beach and Golden Gate Park, this property offers comfortable living in a desirable residential area with strong long-term rental demand and access to neighborhood amenities, schools, and transit."
"1579 46 Th Ave, San Francisco, CA","$1,088,800",house,94101,3,2,1081,1,"Coastal Charm, Income Potential & Top School District Welcome to 1579-1579A 46th Avenuean inviting property ideally situated blocks from the stunning shoreline of Ocean Beach. This well-maintained Outer Sunset home features a legally permitted Accessory Dwelling Unit (ADU), offering flexibility for generating rental income, accommodating guests, or supporting multigenerational living. Set on a deep lot with a spacious backyard, there's ample room to garden, entertain, or explore future expansion possibilities. Located in a desirable school district, this property offers peace of mind for families seeking quality education options nearby. Live the coastal lifestyle while enjoying convenient access to Sunset Dune Park, Golden Gate Park, shops, cafes, Muni transit, and the neighborhood's vibrant community spirit. A rare opportunity to own a versatile home in one of San Francisco's most beloved beachside neighborhoods. Don't miss it!"
"278 Whitney St, San Francisco, CA","$1,398,000",house,94131,3,2,,0,"Welcome to this beautifully designed three-bedroom, two-bathroom home nestled steps from Glen Park, Noe Valley & Bernal Heights. This home features a beautifully remodeled kitchen with a large dining area, living room, two new bathrooms, beautiful hardwood floors, a large finished attic area suitable for a variety of uses, a charming sunny yard perfect for those backyard barbeques, a large basement area laundry and workspace. This residence offers the perfect blend of modern comfort and timeless charm. Easy access to parks, shops, restaurants, transit and convenient freeway access in and out of the city."
"46 Otsego Ave, San Francisco, CA","$1,095,000",house,94112,2,1,1450,2,"Welcome to 46 Otsego Avenue, a charming home situated on one of the most desirable blocks of Mission Terrace. This lovely residence offers 2 spacious bedrooms on the main level & 2 versatile bonus rooms downstairs, perfect for crafting your own office, art studio or guest space. A graceful entryway beautifully framed by lush wisteria leads to the main level, which features a bright & spacious living room flooded w/ natural light with large picture window and an inviting period brick fireplace. Spacious primary bedroom features large walk-in closet. Also on main level are a second generously sized bedroom & updated bathroom. Well-appointed eat-in chef's kitchen features stainless steel appliances, granite counters & custom wood cabinetry. Adjoining dining room opens to spacious walkout deck set against backdrop of serene, enchanting garden w/ fragrant flowers, blooming trees & lush greenery. Secluded & peaceful garden features sunny patio & multiple sitting areas. Beautiful hardwood floors, freshly painted walls & modern light fixtures. Garage features parking for 2 cars & laundry along w/ ample storage & expansion potential. Large driveway provides parking for add'l car. Walking distance to neighborhood restaurant/shops, public transit including BART/Muni and easy freeway access."
